Dataset,Feature,PctIncMSE,PctIncMSE_SD,p_value,Significant
raw_allranks,shots.conceded.ag,1850.2638749746022,12.271431444760687,0.09090909090909091,False
raw_allranks,percentage.behind.ball,1102.8970254910791,3.9479848797893284,0.09090909090909091,False
raw_allranks,shots.ag,852.4246459060732,6.003759863978474,0.09090909090909091,False
raw_allranks,saves.ag,379.48017482990883,1.982038549026343,0.09090909090909091,False
raw_allranks,percentage.defensive.third,92.71458031321129,0.14001442821690302,0.2727272727272727,False
raw_allranks,percentage.offensive.third,89.66619052671095,0.6401975924133173,0.2727272727272727,False
raw_allranks,percentage.supersonic.speed,46.30454494715776,0.008105563588739902,1.0,False
raw_allranks,avg.boost.amount,44.8432897506754,0.406231091489333,1.0,False
raw_allranks,count.stolen.small.pads.ag,43.22702392582598,0.1471833369749152,1.0,False
raw_allranks,percentage.high.in.air,40.17903711703643,0.1977113309671241,1.0,False
raw_allranks,100.boost.time.ag,38.90318526917879,0.15464829911228542,1.0,False
raw_allranks,amount.stolen.ag,35.635441334061674,0.04827643323836927,1.0,False
raw_allranks,percentage.on.ground,32.867852420006024,0.11009883171457509,1.0,False
raw_allranks,0.boost.time.ag,32.58294003382214,0.01936076083442992,1.0,False
raw_allranks,demos.inflicted.ag,31.476465509608598,0.17283509944036632,1.0,False
raw_allranks,real.speed.ag,31.132058579783912,0.2636943354818347,1.0,False
raw_allranks,amount.collected.ag,30.416553437900124,0.3785711117298489,1.0,False
raw_allranks,true.wastage,30.34310069125377,0.12541535824391076,1.0,False
raw_allranks,count.powerslide.ag,29.42440206146577,0.011044110680682194,1.0,False
raw_allranks,amount.overfill.stolen.ag,28.937430810008223,0.11847763868658269,1.0,False
raw_allranks,amount.overfill.total.ag,28.137442114251048,0.010072793079882764,1.0,False
raw_allranks,count.stolen.big.pads.ag,27.695438745709964,0.10419004198860486,1.0,False
raw_allranks,count.collected.small.pads.ag,27.518656863971753,0.21633738247883658,1.0,False
raw_allranks,percentage.slow.speed,26.393563549951992,0.12295568516212606,1.0,False
raw_allranks,count.collected.big.pads.ag,26.31070059506063,0.13683386967652247,1.0,False
raw_allranks,demos.taken.ag,23.576199598097077,0.03734505692862875,1.0,False
raw_allranks,Boost.used.ag,23.340362751647014,0.014765467811895992,1.0,False
raw_allranks,avg.powerslide.time,19.161829967434794,0.019194278662913948,1.0,False
raw_bronze,shots.conceded.ag,1306.2921792958325,16.414213101058454,0.09090909090909091,False
raw_bronze,shots.ag,1024.831578419172,3.892172041513388,0.09090909090909091,False
raw_bronze,percentage.behind.ball,955.1780440832838,37.83636840572426,0.09090909090909091,False
raw_bronze,saves.ag,138.2944577273008,1.3152659260061548,0.09090909090909091,False
raw_bronze,percentage.offensive.third,106.71460471453169,2.597718166324096,0.09090909090909091,False
raw_bronze,percentage.defensive.third,65.36404406172751,0.2583504231117576,0.18181818181818182,False
raw_bronze,percentage.high.in.air,48.02708221850144,0.5976549136027248,0.9090909090909091,False
raw_bronze,avg.boost.amount,39.27082706791051,0.8370322675692485,1.0,False
raw_bronze,100.boost.time.ag,35.49589407362894,1.2555142925508425,1.0,False
raw_bronze,amount.stolen.ag,33.158650300440975,0.19572655115987614,1.0,False
raw_bronze,count.stolen.small.pads.ag,31.874414126443067,0.36148508650128985,1.0,False
raw_bronze,count.stolen.big.pads.ag,29.446302614640313,0.09907706438993369,1.0,False
raw_bronze,true.wastage,28.59397361337692,1.507208951733416,1.0,False
raw_bronze,percentage.on.ground,28.32152550165899,0.8362497714610564,1.0,False
raw_bronze,count.powerslide.ag,24.757326264682447,0.5879337236810711,1.0,False
raw_bronze,amount.overfill.total.ag,24.608308034010665,0.05375590053201548,1.0,False
raw_bronze,count.collected.big.pads.ag,24.033578299573108,0.05508966255128446,1.0,False
raw_bronze,amount.overfill.stolen.ag,23.985264116859106,0.1625025848129274,1.0,False
raw_bronze,real.speed.ag,23.890274441874617,0.5153326780901403,1.0,False
raw_bronze,percentage.supersonic.speed,23.256542741763077,0.04079823574094081,1.0,False
raw_bronze,0.boost.time.ag,23.136491495029734,0.25082600976870423,1.0,False
raw_bronze,count.collected.small.pads.ag,21.46335646498239,0.1642372328984703,1.0,False
raw_bronze,amount.collected.ag,19.700747072951472,0.09922249861641017,1.0,False
raw_bronze,Boost.used.ag,19.08964406214897,0.42279102554479053,1.0,False
raw_bronze,avg.powerslide.time,19.080292670558162,0.022691470362983062,1.0,False
raw_bronze,percentage.slow.speed,18.788524940348367,0.35815708190647944,1.0,False
raw_bronze,demos.inflicted.ag,9.055389423009204,0.06255424914888887,1.0,False
raw_bronze,demos.taken.ag,8.879045380725879,0.05332141019350125,1.0,False
raw_gold,shots.conceded.ag,1474.5076410202514,8.879353010095576,0.09090909090909091,False
raw_gold,shots.ag,867.7122222993937,12.55320479060637,0.09090909090909091,False
raw_gold,percentage.behind.ball,842.4192711294071,0.7341960004977519,0.09090909090909091,False
raw_gold,saves.ag,302.6863937679123,1.9272528916854108,0.09090909090909091,False
raw_gold,percentage.offensive.third,75.31372002623986,1.3133652832927312,0.09090909090909091,False
raw_gold,percentage.defensive.third,66.30914284431158,0.45254365187252077,0.45454545454545453,False
raw_gold,avg.boost.amount,37.81415976713511,0.6866022701199916,1.0,False
raw_gold,percentage.high.in.air,35.84606226566426,0.3421123743210491,1.0,False
raw_gold,count.stolen.small.pads.ag,35.02903449636256,0.43920089507483717,1.0,False
raw_gold,0.boost.time.ag,32.37958882599384,0.09304736409620684,1.0,False
raw_gold,100.boost.time.ag,31.627588127786883,0.5616702459784845,1.0,False
raw_gold,true.wastage,30.914642314462764,0.037530871020438,1.0,False
raw_gold,percentage.on.ground,30.365403754806774,0.0009100856439833507,1.0,False
raw_gold,real.speed.ag,29.399298177123157,0.10731372587344465,1.0,False
raw_gold,amount.stolen.ag,29.15502917562014,0.6695213704347379,1.0,False
raw_gold,count.collected.small.pads.ag,27.435821241060037,0.1851771171010581,1.0,False
raw_gold,count.powerslide.ag,25.495881801775894,0.1821121587173506,1.0,False
raw_gold,amount.overfill.total.ag,25.016153939402606,0.2762394199573731,1.0,False
raw_gold,count.stolen.big.pads.ag,24.528828194763573,0.5872615848839645,1.0,False
raw_gold,amount.overfill.stolen.ag,23.867310574064163,0.5320837695875364,1.0,False
raw_gold,percentage.slow.speed,22.781121504916058,0.04000999572908303,1.0,False
raw_gold,percentage.supersonic.speed,22.704496912550688,0.16540399328395627,1.0,False
raw_gold,count.collected.big.pads.ag,21.211955047368704,0.030156370497259204,1.0,False
raw_gold,Boost.used.ag,20.944642876619998,0.12901811373014674,1.0,False
raw_gold,amount.collected.ag,20.309170155560192,0.15045367375266858,1.0,False
raw_gold,demos.taken.ag,19.239529625997378,0.14588331960433473,1.0,False
raw_gold,demos.inflicted.ag,18.531411076820707,0.03230816477271905,1.0,False
raw_gold,avg.powerslide.time,17.084874106203,0.12489947139065644,1.0,False
raw_diamond,percentage.behind.ball,1165.0737849951608,16.30955533267415,0.09090909090909091,False
raw_diamond,shots.conceded.ag,1084.6486892722064,7.326956073691464,0.09090909090909091,False
raw_diamond,shots.ag,823.4817378932627,7.113971633498335,0.09090909090909091,False
raw_diamond,saves.ag,265.6514733817668,1.4179454121718482,0.09090909090909091,False
raw_diamond,percentage.defensive.third,77.52581620686705,0.285257864843329,0.18181818181818182,False
raw_diamond,percentage.offensive.third,64.71210948144179,0.3228600649557073,0.45454545454545453,False
raw_diamond,percentage.high.in.air,44.8349931588795,0.009648654987446284,1.0,False
raw_diamond,demos.inflicted.ag,39.916639869228334,0.37222382899829937,0.45454545454545453,False
raw_diamond,0.boost.time.ag,37.55585639248588,0.16604516717640688,1.0,False
raw_diamond,avg.boost.amount,34.84517009764814,0.45219672866213784,1.0,False
raw_diamond,count.stolen.small.pads.ag,33.42361597334003,0.24830150488301608,1.0,False
raw_diamond,100.boost.time.ag,31.389442452023292,0.28227515192716335,1.0,False
raw_diamond,amount.stolen.ag,30.049230038291352,0.40072931797355577,1.0,False
raw_diamond,percentage.on.ground,29.71444700573095,0.05107414146925249,1.0,False
raw_diamond,amount.overfill.stolen.ag,28.195216384812422,0.49095802545272527,1.0,False
raw_diamond,real.speed.ag,28.016452277328785,0.4195992193830619,1.0,False
raw_diamond,amount.overfill.total.ag,26.54499080782215,0.0013972285496648164,1.0,False
raw_diamond,count.collected.small.pads.ag,26.368026080887724,0.02083543192324738,1.0,False
raw_diamond,true.wastage,25.712759139138065,0.06225124530989937,1.0,False
raw_diamond,count.stolen.big.pads.ag,24.153052308097152,0.20888412994336086,1.0,False
raw_diamond,percentage.slow.speed,23.093629133836274,0.013504808770012467,1.0,False
raw_diamond,percentage.supersonic.speed,22.505512643931684,0.22023537808080024,1.0,False
raw_diamond,count.collected.big.pads.ag,21.818019223072707,0.040081518249263474,1.0,False
raw_diamond,amount.collected.ag,21.728211232299802,0.07884473487361557,1.0,False
raw_diamond,count.powerslide.ag,21.719868859755636,0.07809930143754447,1.0,False
raw_diamond,Boost.used.ag,20.163365015161023,0.03695603791191605,1.0,False
raw_diamond,demos.taken.ag,18.893507485850787,0.05209902016711941,1.0,False
raw_diamond,avg.powerslide.time,14.446162106198917,0.12445418332422094,1.0,False
raw_gc,percentage.behind.ball,1349.9493055398086,3.3150824152869416,0.09090909090909091,False
raw_gc,shots.conceded.ag,944.8036055291185,7.045629440357236,0.09090909090909091,False
raw_gc,shots.ag,640.1351980193084,1.3454228491919231,0.09090909090909091,False
raw_gc,saves.ag,207.20270989952962,1.7341104426796243,0.09090909090909091,False
raw_gc,percentage.defensive.third,70.9027315593686,0.26728840263272613,0.18181818181818182,False
raw_gc,percentage.offensive.third,61.66799127334015,0.39005309094761337,0.09090909090909091,False
raw_gc,percentage.on.ground,49.753416268988104,0.3292445690048716,1.0,False
raw_gc,demos.inflicted.ag,46.5090288231803,1.2816210543120437,0.2727272727272727,False
raw_gc,amount.stolen.ag,34.31441495680461,0.5268862241143739,1.0,False
raw_gc,count.stolen.small.pads.ag,33.550516319672965,0.99182206614887,1.0,False
raw_gc,avg.boost.amount,33.22955934955685,0.5618317407458728,1.0,False
raw_gc,percentage.high.in.air,31.06927742223997,0.09334452055172882,1.0,False
raw_gc,0.boost.time.ag,28.828145064865602,0.08420108256376832,1.0,False
raw_gc,count.stolen.big.pads.ag,27.443005177823114,0.24506474688624477,1.0,False
raw_gc,amount.overfill.stolen.ag,26.575553214767712,0.5884280715357131,1.0,False
raw_gc,100.boost.time.ag,25.6109392508644,0.49004173899582626,1.0,False
raw_gc,true.wastage,24.85223930635316,0.3780067330202857,1.0,False
raw_gc,count.collected.small.pads.ag,24.78272242503964,0.3009265106424419,1.0,False
raw_gc,percentage.slow.speed,24.682931857102894,0.10234064605347008,1.0,False
raw_gc,count.collected.big.pads.ag,23.61966042676471,0.03020369411195127,1.0,False
raw_gc,demos.taken.ag,23.215405080602252,0.08535821755562803,1.0,False
raw_gc,percentage.supersonic.speed,23.049971125565143,0.2006612576817948,1.0,False
raw_gc,amount.overfill.total.ag,22.83366762989856,0.27583385030405716,1.0,False
raw_gc,amount.collected.ag,22.61880443829472,0.3231041133373407,1.0,False
raw_gc,count.powerslide.ag,22.375627440229017,0.5007153935267187,1.0,False
raw_gc,Boost.used.ag,21.43164727536469,0.10745479522899327,1.0,False
raw_gc,avg.powerslide.time,13.345674826514106,0.11661592246456295,1.0,False
diff_allranks,diff.shots.ag,3954.5580879411004,7.821875461560886,0.09090909090909091,False
