Feature,bronze,gold,diamond,gc,allranks
diff.shots.ag,54.065801049176365,55.62710751328858,46.85837432137969,39.960904223606484,51.41097430588123
diff.percentage.behind.ball.ag,25.964463804250975,20.706268834840145,30.012356029895347,37.56654919369899,23.925465016437844
diff.saves.ag,5.296094407678612,9.674825608371911,9.626432568708461,8.270357971232349,11.141025106705202
diff.percentage.offensive.third.ag,1.9941228869397385,1.6724584037253245,1.710009786927974,1.9468983583491015,1.6521101304012336
diff.percentage.defensive.third.ag,1.3474458297784229,1.5090348269810738,1.4829705371121846,1.4764094846996016,1.5962379214518603
diff.percentage.high.in.air.ag,1.3019130233871572,1.2053804527128176,0.9433785016538154,0.6128277054059663,1.107323953255288
diff.avg.boost.amount.ag,1.1411690433730584,0.6885332413762675,0.7303555052466074,0.7415171614134789,0.7763889011951689
diff.count.stolen.small.pads.ag,0.744616292313357,0.767792169079261,0.6937842406009681,0.6509047166736978,0.7311006743310806
