Dataset,Type,N_Features_Original,N_Features_QR,N_Dropped,Best_ntree,OOB_MSE,OOB_R2
raw_allranks,raw,28,28,0,900,3.6122779319857083,0.746856748124386
raw_bronze,raw,28,28,0,1000,3.9093625059779007,0.7925016877306638
raw_gold,raw,28,28,0,900,3.5193027546794364,0.743003482148005
raw_diamond,raw,28,28,0,1000,3.659032601046512,0.7253103798056556
raw_gc,raw,27,27,0,1000,4.052708043719529,0.7130950294745108
diff_allranks,diff,26,26,0,1000,2.2955456173863227,0.8390980094085191
diff_bronze,diff,26,26,0,1000,2.9910570280332642,0.841057085453546
diff_gold,diff,26,26,0,1000,2.433281908366811,0.8223099798472756
diff_diamond,diff,26,26,0,1000,2.365868277531842,0.8223903612120869
diff_gc,diff,26,26,0,1000,2.6124859815624086,0.8150532420661367
